LAT,LON,Data_Type,Date,Time,State,County,Town,??,Direction,,,Category,Amount,Measurement,Source,Summary
44.3065,-73.0052,Heavy Rain,07/11/24,700 AM,VT,Chittenden,Huntington,2,SW,,,RAIN,4.29,Inch,CoCoRaHS,Storm Total Rainfall
44.4576,-72.4267,Heavy Rain,07/11/24,800 AM,VT,Washington,Woodbury,1,NNW,,,RAIN,4.29,Inch,CoCoRaHS,Storm Total Rainfall
44.26,-72.96,Heavy Rain,07/11/24,547 AM,VT,Chittenden,Hanksville,1,N,,,RAIN,4.28,Inch,Public,Storm Total Rainfall
44.4122,-72.1001,Heavy Rain,07/11/24,610 AM,VT,Caledonia,Danville,2,E,,,RAIN,4.27,Inch,CoCoRaHS,Storm Total Rainfall
44.51589,-71.93898,Heavy Rain,07/11/24,1031 AM,VT,Caledonia,North Kirby,,,,,RAIN,4.25,Inch,Public,Storm Total Rainfall
44.65,-71.97,Heavy Rain,07/11/24,722 AM,VT,Caledonia,West Burke,1,NE,,,RAIN,4.22,Inch,Public,Storm Total Rainfall
44.3678,-73.1963,Heavy Rain,07/11/24,818 AM,VT,Chittenden,SHELBURNE,,,,,RAIN,4.22,Inch,CWOP,Storm Total Rainfall
44.4019,-72.3164,Heavy Rain,07/11/24,700 AM,VT,Caledonia,Cabot,,,,,RAIN,4.2,Inch,Mesonet,Storm Total Rainfall
44.464,-72.6907,Heavy Rain,07/11/24,730 AM,VT,Lamoille,Stowe,,SW,,,RAIN,4.17,Inch,CoCoRaHS,Storm Total Rainfall
44.6634,-72.3925,Heavy Rain,07/11/24,600 AM,VT,Orleans,Craftsbury Common,,,,,RAIN,4.17,Inch,CoCoRaHS,Storm Total Rainfall
44.4455,-71.8197,Heavy Rain,07/11/24,700 AM,VT,Essex,North Concord,2,SE,,,RAIN,4.15,Inch,CoCoRaHS,Storm Total Rainfall
44.5358,-72.0287,Heavy Rain,07/11/24,700 AM,VT,Caledonia,Lyndonville,1,W,,,RAIN,4.14,Inch,CoCoRaHS,Storm Total Rainfall
44.17,-72.39,Heavy Rain,07/11/24,659 AM,VT,Orange,Orange,1,NNE,,,RAIN,4.13,Inch,Public,Storm Total Rainfall
44.3667,-72.5417,Heavy Rain,07/11/24,818 AM,VT,Washington,Worcester,,,,,RAIN,4.11,Inch,CWOP,Storm Total Rainfall
44.38,-73.23,Heavy Rain,07/11/24,636 AM,VT,Chittenden,Shelburne,,,,,RAIN,4.1,Inch,Trained Spotter,Storm Total Rainfall
44.3249,-72.9657,Heavy Rain,07/11/24,600 AM,VT,Chittenden,Huntington,1,E,,,RAIN,4.08,Inch,CoCoRaHS,Storm Total Rainfall
44.6053,-72.3094,Heavy Rain,07/11/24,700 AM,VT,Orleans,Greensboro,2,NNW,,,RAIN,4.07,Inch,CoCoRaHS,Storm Total Rainfall
44.27,-72.64,Heavy Rain,07/11/24,702 AM,VT,Washington,Montpelier Junction,2,WNW,,,RAIN,4.06,Inch,Public,Storm Total Rainfall
44.4883,-72.4326,Heavy Rain,07/11/24,700 AM,VT,Washington,Woodbury,3,NNW,,,RAIN,4.04,Inch,CoCoRaHS,Storm Total Rainfall
44.4495,-72.925,Intense Rain,07/10/24,1103 PM,VT,Chittenden,Jericho,,,,,RAIN,3.97,Inch,CWOP,Storm Total Rainfall
44.8128,-71.8902,Intense Rain,07/11/24,840 AM,VT,Essex,Island Pond,,,,,RAIN,3.96,Inch,Co-Op Observer,Storm Total Rainfall
44.52,-71.99,Intense Rain,07/11/24,722 AM,VT,Caledonia,Lyndon,1,ENE,,,RAIN,3.95,Inch,Public,Storm Total Rainfall
44.4993,-72.698,Intense Rain,07/11/24,800 AM,VT,Lamoille,Stowe,2,NNW,,,RAIN,3.95,Inch,CoCoRaHS,Storm Total Rainfall
44.7567,-72.0723,Intense Rain,07/11/24,800 AM,VT,Orleans,Westmore,1,SW,,,RAIN,3.94,Inch,CoCoRaHS,Storm Total Rainfall
44.79,-72.02,Intense Rain,07/11/24,727 AM,VT,Orleans,Westmore,2,NE,,,RAIN,3.94,Inch,Public,Storm Total Rainfall
44.96,-71.59,Intense Rain,07/11/24,723 AM,VT,Essex,Wallace Pond,4,SSE,,,RAIN,3.92,Inch,Public,Storm Total Rainfall
44.8916,-72.4435,Intense Rain,07/11/24,700 AM,VT,Orleans,Westfield,1,WNW,,,RAIN,3.91,Inch,CoCoRaHS,Storm Total Rainfall
44.28,-72.42,Intense Rain,07/11/24,706 AM,VT,Washington,Plainfield,,,,,RAIN,3.89,Inch,Public,Storm Total Rainfall
44.12,-72.6,Intense Rain,07/11/24,700 AM,VT,Orange,South Northfield,3,E,,,RAIN,3.88,Inch,Public,Storm Total Rainfall
44.3949,-73.0932,Intense Rain,07/11/24,600 AM,VT,Chittenden,Williston,3,SSW,,,RAIN,3.86,Inch,CoCoRaHS,Storm Total Rainfall
44.6425,-71.8912,Intense Rain,07/11/24,700 AM,VT,Essex,East Haven,1,S,,,RAIN,3.85,Inch,Co-Op Observer,Storm Total Rainfall
44.20278,-72.87639,Intense Rain,07/11/24,700 AM,VT,Washington,Fayston,,,,,RAIN,3.81,Inch,Mesonet,Storm Total Rainfall
44.8341,-72.3201,Intense Rain,07/11/24,700 AM,VT,Orleans,Irasburg,3,NW,,,RAIN,3.79,Inch,CoCoRaHS,Storm Total Rainfall
44.79,-71.79,Intense Rain,07/11/24,723 AM,VT,Essex,East Brighton,1,ENE,,,RAIN,3.75,Inch,Public,Storm Total Rainfall
44.0875,-73.3218,Intense Rain,07/11/24,815 AM,VT,Addison,Addison,,,,,RAIN,3.7,Inch,CWOP,Storm Total Rainfall
44.7,-72.55,Intense Rain,07/11/24,911 AM,VT,Lamoille,Eden,,,,,RAIN,3.7,Inch,Trained Spotter,Storm Total Rainfall
44.4932,-71.7045,Intense Rain,07/11/24,600 AM,VT,Essex,Lunenburg,2,NNW,,,RAIN,3.66,Inch,CoCoRaHS,Storm Total Rainfall
44.1944,-72.2824,Intense Rain,07/11/24,500 AM,VT,Caledonia,Groton,4,WSW,,,RAIN,3.63,Inch,CoCoRaHS,Storm Total Rainfall
44.7,-73.13,Intense Rain,07/11/24,541 AM,VT,Franklin,West Georgia,1,E,,,RAIN,3.63,Inch,Public,Storm Total Rainfall
44.3747,-72.5822,Intense Rain,07/11/24,700 AM,VT,Washington,Worcester,2,W,,,RAIN,3.62,Inch,Co-Op Observer,Storm Total Rainfall
44.4708,-71.7256,Intense Rain,07/11/24,700 AM,VT,Essex,West Lunenburg,,,,,RAIN,3.55,Inch,Mesonet,Storm Total Rainfall
44.631,-72.28,Intense Rain,07/11/24,500 AM,VT,Orleans,Greensboro,4,NNE,,,RAIN,3.54,Inch,CoCoRaHS,Storm Total Rainfall
44.3826,-73.2177,Intense Rain,07/11/24,700 AM,VT,Chittenden,Shelburne,1,ENE,,,RAIN,3.51,Inch,CoCoRaHS,Storm Total Rainfall
44.6653,-73.0088,Intense Rain,07/11/24,900 AM,VT,Franklin,Fairfax,5,WNW,,,RAIN,3.47,Inch,CoCoRaHS,Storm Total Rainfall
44.1756,-72.7961,Intense Rain,07/11/24,600 AM,VT,Washington,Waitsfield,2,SE,,,RAIN,3.44,Inch,Co-Op Observer,Storm Total Rainfall
44.9306,-72.2373,Intense Rain,07/11/24,700 AM,VT,Orleans,Newport,2,WSW,,,RAIN,3.43,Inch,CoCoRaHS,Storm Total Rainfall
44.2142,-72.6636,Intense Rain,07/11/24,700 AM,VT,Washington,Berlin,,,,,RAIN,3.42,Inch,Mesonet,Storm Total Rainfall
44.8766,-72.5623,Intense Rain,07/11/24,700 AM,VT,Franklin,Montgomery,4,ESE,,,RAIN,3.4,Inch,CoCoRaHS,Storm Total Rainfall
44.56472,-72.08806,Intense Rain,07/11/24,700 AM,VT,Caledonia,Wheelock,,,,,RAIN,3.36,Inch,Mesonet,Storm Total Rainfall
44.5092,-71.7153,Intense Rain,07/11/24,700 AM,VT,Essex,Lunenburg,,,,,RAIN,3.32,Inch,Mesonet,Storm Total Rainfall
44.1886,-72.8114,Intense Rain,07/11/24,700 AM,VT,Washington,Waitsfield,,,,,RAIN,3.31,Inch,Mesonet,Storm Total Rainfall
44.6384,-73.1125,Intense Rain,07/11/24,1023 AM,VT,Chittenden,Milton,,,,,RAIN,3.25,Inch,Public,Storm Total Rainfall
44.2039,-73.3556,Intense Rain,07/11/24,700 AM,VT,Addison,Ferrisburg,,,,,RAIN,3.24,Inch,Mesonet,Storm Total Rainfall
44.5503,-72.5741,Intense Rain,07/11/24,732 AM,VT,Lamoille,Morrisville,1,ESE,,,RAIN,3.22,Inch,CoCoRaHS,Storm Total Rainfall
44.6147,-72.3863,Intense Rain,07/11/24,700 AM,VT,Orleans,Craftsbury,2,SSW,,,RAIN,3.22,Inch,CoCoRaHS,Storm Total Rainfall
44.5011,-72.8811,Intense Rain,07/11/24,700 AM,VT,Chittenden,Underhill,4,ESE,,,RAIN,3.2,Inch,CoCoRaHS,Storm Total Rainfall
44.85,-72.16,Intense Rain,07/11/24,726 AM,VT,Orleans,Brownington Village,1,NNE,,,RAIN,3.2,Inch,Public,Storm Total Rainfall
44.18,-72.82,Intense Rain,07/11/24,714 AM,VT,Washington,Waitsfield,1,SSE,,,RAIN,3.18,Inch,CoCoRaHS,Storm Total Rainfall
44.06,-73.17,Intense Rain,07/11/24,603 AM,VT,Addison,Brooksville,,,,,RAIN,3.17,Inch,Public,Storm Total Rainfall
44.94,-72.14,Intense Rain,07/11/24,1155 AM,VT,Orleans,Derby Center,1,SSW,,,RAIN,3.16,Inch,Public,Storm Total Rainfall
44.2131,-72.3989,Intense Rain,07/11/24,700 AM,VT,Orange,Orange,,,,,RAIN,3.11,Inch,Mesonet,Storm Total Rainfall
44.7964,-72.8567,Intense Rain,07/11/24,700 AM,VT,Franklin,East Fairfield,,,,,RAIN,3.1,Inch,Mesonet,Storm Total Rainfall
44.17,-72.79,Intense Rain,07/11/24,701 AM,VT,Washington,Waitsfield Common,1,SSE,,,RAIN,3.09,Inch,Public,Storm Total Rainfall
44.73,-72.4,Intense Rain,07/11/24,725 AM,VT,Orleans,Albany,1,W,,,RAIN,3.04,Inch,Public,Storm Total Rainfall
44.4655,-72.975,Intense Rain,07/11/24,817 AM,VT,Chittenden,JERICHO,,,,,RAIN,3.01,Inch,CWOP,Storm Total Rainfall
44.21,-72.5131,Intense Rain,07/11/24,700 AM,VT,Washington,North Barre,,,,,RAIN,3.01,Inch,Mesonet,Storm Total Rainfall
44.2,-72.5667,Intense Rain,07/11/24,751 AM,VT,Washington,Montpelier Airport,,,,,RAIN,2.98,Inch,ASOS,Storm Total Rainfall
44.6494,-71.9683,Intense Rain,07/11/24,700 AM,VT,Caledonia,West Burke,,,,,RAIN,2.97,Inch,Mesonet,Storm Total Rainfall
44.98,-71.96,Intense Rain,07/11/24,727 AM,VT,Orleans,Holland,2,ENE,,,RAIN,2.91,Inch,Public,Storm Total Rainfall
44.66,-73.12,Intense Rain,07/11/24,544 AM,VT,Chittenden,Milton,2,NNW,,,RAIN,2.89,Inch,Public,Storm Total Rainfall
44.2302,-72.1052,Intense Rain,07/11/24,646 AM,VT,Caledonia,Wells River,2,WNW,,,RAIN,2.88,Inch,CoCoRaHS,Storm Total Rainfall
43.6222,-72.7594,Intense Rain,07/11/24,730 AM,VT,Rutland,West Bridgewater,2,NW,,,RAIN,2.87,Inch,HADS,Storm Total Rainfall
44.96,-72.21,Intense Rain,07/11/24,726 AM,VT,Orleans,Lindsay Beach,1,SW,,,RAIN,2.81,Inch,Public,Storm Total Rainfall
44.2723,-72.5002,Intense Rain,07/11/24,700 AM,VT,Washington,East Montpelier,,,,,RAIN,2.76,Inch,CoCoRaHS,Storm Total Rainfall
44.2435,-72.5676,Intense Rain,07/11/24,700 AM,VT,Washington,Montpelier,1,SSE,,,RAIN,2.75,Inch,CoCoRaHS,Storm Total Rainfall
45,-72.41,Intense Rain,07/11/24,726 AM,VT,Orleans,North Troy,,,,,RAIN,2.74,Inch,Public,Storm Total Rainfall
44.1649,-72.6471,Intense Rain,07/11/24,600 AM,VT,Washington,Northfield,1,NNE,,,RAIN,2.74,Inch,CoCoRaHS,Storm Total Rainfall
44.1699,-72.652,Intense Rain,07/11/24,700 AM,VT,Washington,Northfield,2,N,,,RAIN,2.74,Inch,CoCoRaHS,Storm Total Rainfall
44.2282,-72.5247,Intense Rain,07/11/24,815 AM,VT,Washington,BARRE,,,,,RAIN,2.74,Inch,CWOP,Storm Total Rainfall
44.47,-71.73,Intense Rain,07/11/24,722 AM,VT,Essex,Baptist Hill,2,N,,,RAIN,2.72,Inch,Public,Storm Total Rainfall
44.57,-73.24,Intense Rain,07/11/24,545 AM,VT,Chittenden,Thayer Beach,2,NE,,,RAIN,2.69,Inch,Public,Storm Total Rainfall
44.92,-72.8,Intense Rain,07/11/24,541 AM,VT,Franklin,Enosburg Falls,1,NNE,,,RAIN,2.69,Inch,Public,Storm Total Rainfall
44.64047,-73.04878,Intense Rain,07/11/24,943 AM,VT,Chittenden,Westford,2,NW,,,RAIN,2.63,Inch,NWS Employee,Storm Total Rainfall
44.6353,-72.6942,Intense Rain,07/11/24,818 AM,VT,Lamoille,Johnson VTWAC),1,W,,,RAIN,2.61,Inch,MESOWEST,Storm Total Rainfall
44.5088,-72.3649,Intense Rain,07/11/24,700 AM,VT,Lamoille,Hardwick,,,,,RAIN,2.61,Inch,Mesonet,Storm Total Rainfall
44.94,-73.14,Intense Rain,07/11/24,540 AM,VT,Franklin,Swanton,2,NW,,,RAIN,2.6,Inch,Public,Storm Total Rainfall
44.7017,-72.9061,Intense Rain,07/11/24,700 AM,VT,Lamoille,Fletcher,,,,,RAIN,2.6,Inch,Mesonet,Storm Total Rainfall
44.7328,-72.4042,Intense Rain,07/11/24,700 AM,VT,Orleans,Albany,,,,,RAIN,2.6,Inch,Mesonet,Storm Total Rainfall
44.7253,-73.308,Intense Rain,07/11/24,820 AM,VT,Grand Isle,Grand Isle,,,,,RAIN,2.56,Inch,CWOP,Storm Total Rainfall
44.1121,-72.7989,Intense Rain,07/11/24,700 AM,VT,Washington,Warren,3,E,,,RAIN,2.56,Inch,CoCoRaHS,Storm Total Rainfall
44.73,-73.31,Intense Rain,07/11/24,542 AM,VT,Grand Isle,Grand Isle,1,NW,,,RAIN,2.55,Inch,Public,Storm Total Rainfall
44.4203,-73.1924,Intense Rain,07/11/24,640 AM,VT,Chittenden,South Burlington,3,SSW,,,RAIN,2.53,Inch,CoCoRaHS,Storm Total Rainfall
44.9178,-72.7762,Intense Rain,07/11/24,819 AM,VT,Franklin,Enosburgh,,,,,RAIN,2.53,Inch,CWOP,Storm Total Rainfall
44.4367,-73.0715,Intense Rain,07/11/24,700 AM,VT,Chittenden,Williston,,WSW,,,RAIN,2.51,Inch,CoCoRaHS,Storm Total Rainfall
44.675,-72.921,Intense Rain,07/11/24,635 AM,VT,Franklin,Cambridge,3,NW,,,RAIN,2.51,Inch,CoCoRaHS,Storm Total Rainfall
44.7258,-73.1183,Moderate Rain,07/11/24,820 AM,VT,Franklin,Georgia,,,,,RAIN,2.47,Inch,CWOP,Storm Total Rainfall
44.7417,-72.4617,Moderate Rain,07/11/24,700 AM,VT,Orleans,Lowell,,,,,RAIN,2.45,Inch,Mesonet,Storm Total Rainfall
44.8367,-72.1745,Moderate Rain,07/11/24,825 AM,VT,Orleans,Brownington,,,,,RAIN,2.43,Inch,Trained Spotter,Storm Total Rainfall
45.0045,-72.1417,Moderate Rain,07/11/24,700 AM,VT,Orleans,Derby Line,2,W,,,RAIN,2.42,Inch,CoCoRaHS,Storm Total Rainfall
44.4611,-73.1174,Moderate Rain,07/11/24,804 AM,VT,Chittenden,Williston,3,NW,,,RAIN,2.4,Inch,CoCoRaHS,Storm Total Rainfall
44.81,-73.06,Moderate Rain,07/11/24,541 AM,VT,Franklin,Hill Farm Estates,,,,,RAIN,2.4,Inch,Public,Storm Total Rainfall
44.9096,-72.8137,Moderate Rain,07/11/24,452 AM,VT,Franklin,Enosburg Falls,,,,,RAIN,2.39,Inch,Co-Op Observer,Storm Total Rainfall
44.52588,-72.94513,Moderate Rain,07/11/24,600 AM,VT,Chittenden,Underhill,,,,,RAIN,2.38,Inch,Public,Storm Total Rainfall
44.5505,-73.1967,Moderate Rain,07/11/24,814 AM,VT,Chittenden,Colchester,,,,,RAIN,2.38,Inch,CWOP,Storm Total Rainfall
44.07,-72.96,Moderate Rain,07/11/24,603 AM,VT,Addison,South Lincoln,1,E,,,RAIN,2.37,Inch,Public,Storm Total Rainfall
